Serving HTTP on :: port 8765 (http://[::]:8765/) ...
::1 - - [17/Sep/2026 22:35:55] "HEAD /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:35:56] "HEAD /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:37:07] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:42:37] "GET /index.html HTTP/1.1" 304 -
::1 - - [17/Sep/2026 22:44:53] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:44:53] "GET /assets/texture-motionblur.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:44:53] "GET /assets/texture-scanline.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:44:53] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:44:53] "GET /assets/detail-coral.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:45:02] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:45:02] "GET /assets/texture-scanline.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:45:02] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:45:02] "GET /assets/texture-motionblur.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:45:02] "GET /assets/detail-coral.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:45:02] code 404, message File not found
::1 - - [17/Sep/2026 22:45:02] "GET /favicon.ico HTTP/1.1" 404 -
::1 - - [17/Sep/2026 22:47:39] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:47:39] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:47:46] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:47:46] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:47:46] code 404, message File not found
::1 - - [17/Sep/2026 22:47:46] "GET /favicon.ico HTTP/1.1" 404 -
::1 - - [17/Sep/2026 22:49:16] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:49:16] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:49:23] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:49:23] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 22:49:23] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
